DATAFLOW,LAST_UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,BG,2021,5.3,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,BG,2022,4.2,b
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,BG,2023,4.3,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2012,4.5,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2013,4.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2014,4.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2015,4.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2016,5.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2017,4.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2018,4.7,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2019,4.4,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2020,4.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2021,5.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2022,4.3,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CH,2023,4.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2012,11.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2013,15.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2014,16.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2015,15.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2016,13.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2017,11.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2018,8.4,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2019,7.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2020,7.6,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2021,7.5,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2022,6.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CY,2023,6.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2012,7.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2013,7.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2014,6.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2015,5.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2016,4.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2017,2.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2018,2.2,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2019,2.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2020,2.6,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2021,2.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2022,2.2,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,CZ,2023,2.6,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2012,5.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2013,5.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2014,4.7,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2015,4.4,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2016,3.9,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2017,3.6,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2018,3.2,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2019,3.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2020,3.7,b
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2021,3.7,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2022,3.1,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DE,2023,3.0,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DK,2012,7.8,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DK,2013,7.4,
ESTAT:TPS00203(1.0),14/03/24 23:00:00,A,Y15-74,PC_ACT,T,DK,2014,6.9,
